20:31:35.874 [main] INFO  c.e.j.c.CloudDrawingApplication - Starting CloudDrawingApplication using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44010 (/Users/wuwenlong/Documents/ProjectIdea/CloudDrawing/target/classes started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:31:35.876 [main] INFO  c.e.j.c.CloudDrawingApplication - The following 1 profile is active: "dev"
20:31:37.301 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 3000 (http)
20:31:37.307 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
20:31:37.308 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
20:31:37.308 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
20:31:37.491 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:31:37.491 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1573 ms
20:31:38.362 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:31:38.441 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
20:31:38.456 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 3000 (http) with context path ''
20:31:38.647 [main] INFO  c.e.j.c.CloudDrawingApplication - Started CloudDrawingApplication in 3.315 seconds (JVM running for 4.044)
20:32:39.384 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44034 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:32:39.388 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:32:44.047 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:32:44.852 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.072 seconds (JVM running for 7.534)
20:32:45.129 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Starting...
20:32:45.852 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Start completed.
20:32:45.985 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown initiated...
20:32:46.045 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown completed.
20:33:05.571 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44056 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:33:05.572 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:33:10.397 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:33:11.309 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.349 seconds (JVM running for 7.86)
20:33:20.799 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44063 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:33:20.802 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:33:25.580 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:33:26.411 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.239 seconds (JVM running for 7.665)
20:33:37.709 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44071 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:33:37.710 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:33:42.281 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:33:43.088 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.172 seconds (JVM running for 7.651)
20:39:18.607 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44227 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:39:18.608 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:39:23.238 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:39:24.030 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.205 seconds (JVM running for 7.794)
20:41:23.402 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44264 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:41:23.403 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:41:28.022 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:41:28.895 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.238 seconds (JVM running for 7.733)
20:41:54.310 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44288 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:41:54.311 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:41:59.042 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:41:59.870 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.182 seconds (JVM running for 7.608)
20:42:00.189 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Starting...
20:42:00.790 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Start completed.
20:42:00.884 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown initiated...
20:42:00.894 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown completed.
20:42:19.924 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44296 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:42:19.926 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:42:25.180 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:42:26.047 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.728 seconds (JVM running for 8.212)
20:42:26.393 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Starting...
20:42:27.274 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Start completed.
20:42:27.401 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown initiated...
20:42:27.487 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown completed.
20:51:09.253 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44569 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:51:09.256 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:51:14.094 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:51:14.904 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.54 seconds (JVM running for 8.042)
20:51:15.233 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Starting...
20:51:16.225 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Start completed.
20:51:16.355 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown initiated...
20:51:16.432 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown completed.
20:56:31.774 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44777 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:56:31.775 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:56:36.437 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:56:37.261 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.305 seconds (JVM running for 7.726)
20:56:37.595 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Starting...
20:56:38.181 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Start completed.
20:56:38.289 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown initiated...
20:56:38.371 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown completed.
20:57:10.362 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Starting CloudDrawingApplicationTests using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 44814 (started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
20:57:10.364 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - The following 1 profile is active: "dev"
20:57:15.323 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
20:57:16.041 [main] INFO  c.e.j.c.CloudDrawingApplicationTests - Started CloudDrawingApplicationTests in 6.347 seconds (JVM running for 8.001)
20:57:16.373 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Starting...
20:57:16.949 [main] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Start completed.
20:57:17.049 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown initiated...
20:57:17.059 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - hanhan - Shutdown completed.
21:16:12.850 [main] INFO  c.e.j.c.CloudDrawingApplication - Starting CloudDrawingApplication using Java 1.8.0_321 on hanhans-MacBook-Air.local with PID 45266 (/Users/wuwenlong/Documents/ProjectIdea/CloudDrawing/target/classes started by wuwenlong in /Users/wuwenlong/Documents/ProjectIdea/CloudDrawing)
